Dt,Nominal Capacity,Actual Tonnes
2015-09-01 0:00,3450,3365
2015-09-01 1:00,3450,3124
2015-09-01 2:00,3450,2978
2015-09-01 3:00,3450,3450
2015-09-01 4:00,3450,2859
2015-09-01 5:00,3450,2939
2015-09-01 6:00,3450,3450
2015-09-01 7:00,3450,3450
2015-09-01 8:00,3450,3349
2015-09-01 9:00,3450,2991
2015-09-01 10:00,3450,3031
2015-09-01 11:00,3450,3450
2015-09-01 12:00,3450,3450
2015-09-01 13:00,3450,3450
2015-09-01 14:00,3450,3304
2015-09-01 15:00,3450,3028
2015-09-01 16:00,3450,3450
2015-09-01 17:00,3450,3450
2015-09-01 18:00,3450,3450
2015-09-01 19:00,3450,3396
2015-09-01 20:00,3450,3450
2015-09-01 21:00,3450,3450
2015-09-01 22:00,3450,3228
2015-09-01 23:00,3450,2831
2015-09-02 0:00,3450,3450
2015-09-02 1:00,3450,3450
2015-09-02 2:00,3450,3450
2015-09-02 3:00,3450,3409
2015-09-02 4:00,3450,3450
2015-09-02 5:00,3450,3450
2015-09-02 6:00,3450,3023
2015-09-02 7:00,3450,2911
2015-09-02 8:00,3450,3306
2015-09-02 9:00,3450,2906
2015-09-02 10:00,3450,3450
2015-09-02 11:00,3450,3450
2015-09-02 12:00,3450,3363
2015-09-02 13:00,3450,3450
2015-09-02 14:00,3450,3450
2015-09-02 15:00,3450,2806
2015-09-02 16:00,3450,3450
2015-09-02 17:00,3450,3450
2015-09-02 18:00,3450,3450
2015-09-02 19:00,3450,3371
2015-09-02 20:00,3450,3094
2015-09-02 21:00,3450,3450
2015-09-02 22:00,3450,3325
2015-09-02 23:00,3450,3450
2015-09-03 0:00,3450,2975
2015-09-03 1:00,3450,3450
2015-09-03 2:00,3450,3269
2015-09-03 3:00,3450,3317
2015-09-03 4:00,3450,2619
2015-09-03 5:00,3450,3450
2015-09-03 6:00,3450,3450
2015-09-03 7:00,3450,3450
2015-09-03 8:00,3450,3291
2015-09-03 9:00,3450,3254
2015-09-03 10:00,3450,3450
2015-09-03 11:00,3450,3450
2015-09-03 12:00,3450,3450
2015-09-03 13:00,3450,3110
2015-09-03 14:00,3450,3450
2015-09-03 15:00,3450,3450
2015-09-03 16:00,3450,3450
2015-09-03 17:00,3450,2907
2015-09-03 18:00,3450,3114
2015-09-03 19:00,3450,3450
2015-09-03 20:00,3450,3450
2015-09-03 21:00,3450,3191
2015-09-03 22:00,3450,3271
2015-09-03 23:00,3450,3450
2015-09-04 0:00,3450,3447
2015-09-04 1:00,3450,3272
2015-09-04 2:00,3450,2773
2015-09-04 3:00,3450,2802
2015-09-04 4:00,3450,3450
2015-09-04 5:00,3450,3450
2015-09-04 6:00,3450,3213
2015-09-04 7:00,3450,3443
2015-09-04 8:00,3450,3098
2015-09-04 9:00,3450,3126
2015-09-04 10:00,3450,3450
